season,birth,hometown,outings,sweat,cold,seasonal allergies,travel destination,outdoor activity,new experiences,personality,color,music,preferred activities,fruit,food
A,7,0,6,10,3,N,River,5,3,Think,B,Dance,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
W,9,NR,5,1,1,Y,River,10,10,Act,B,Classic,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
S,4,0,4,3,8,N,River,10,10,Act,B,Classic,Seasonal activities,"Spring, Summer fruits","Spring, Summer foods"
W,8,NR,6,8,3,N,River,6,7,Act,R,0,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
A,4,0,7,9,4,Y,River,9,9,Act,B,Dance,Seasonal activities,"Spring, Summer fruits","Spring, Summer foods"
A,4,NR,7,7,2,N,River,8,8,Act,B,0,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
W,9,SR,5,5,10,N,Lake,5,4,Think,B,Dance,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
U,3,SR,6,8,5,N,River,3,7,Think,R,Classic,Indoor activities,"Spring, Summer fruits","Spring, Summer foods"
W,3,NR,7,5,3,Y,River,10,8,Think,B,Dance,Walking activities,0,"Spring, Summer foods"
W,10,NR,5,2,9,Y,River,2,9,Act,B,Dance,Seasonal activities,"Spring, Summer fruits",0
S,3,0,5,7,3,N,River,7,5,Act,B,Classic,Seasonal activities,0,0
A,3,0,7,3,10,Y,River,7,5,Act,B,Dance,Seasonal activities,"Spring, Summer fruits","Spring, Summer foods"
W,9,0,3,2,2,Y,River,2,10,Think,B,Classic,Indoor activities,"Spring, Summer fruits","Autumn, Winter foods"
A,9,0,7,10,10,N,River,8,1,Act,B,Dance,Seasonal activities,0,0
W,1,0,5,5,5,N,Lake,5,5,Think,R,0,0,"Spring, Summer fruits","Spring, Summer foods"
A,3,NR,5,6,8,N,Lake,1,4,Think,B,0,Indoor activities,0,0
A,3,SR,3,3,5,Y,Lake,4,5,Act,R,0,Seasonal activities,"Autumn, Winter fruits","Spring, Summer foods"
A,5,0,3,1,1,Y,Lake,6,1,Think,B,Classic,Indoor activities,"Autumn, Winter fruits","Spring, Summer foods"
W,1,NR,5,8,4,N,Lake,6,4,Act,B,Dance,Seasonal activities,"Spring, Summer","Spring, Summer foods"
A,8,SR,5,8,5,N,River,7,7,Act,B,0,Walking activities,0,"Autumn, Winter foods"
S,4,NR,7,7,3,N,River,8,9,Act,R,Classic,Seasonal activities,"Spring, Summer","Autumn, Winter foods"
W,12,NR,5,10,1,N,River,4,7,Think,B,0,Seasonal activities,"Spring, Summer","Autumn, Winter foods"
S,10,0,5,3,7,N,River,5,7,Think,B,Dance,Indoor activities,"Spring, Summer",0
